trait	trait_uri	studies	association_counts	papers	Olga's comments
cerebral amyloid angiopathy	http://www.ebi.ac.uk/efo/EFO_0006790	5	42	5	
facial morphology	http://www.ebi.ac.uk/efo/EFO_0004743	5	41	5	
cognitive behavioural therapy	http://www.ebi.ac.uk/efo/EFO_0007820	5	40	5	
obsolete_bronchopulmonary dysplasia	http://www.orpha.net/ORDO/Orphanet_70589	5	38	5	
Hypertriglyceridemia	http://www.ebi.ac.uk/efo/EFO_0004211	5	36	5	Cardiovascular
membranous glomerulonephritis	http://www.ebi.ac.uk/efo/EFO_0004254	5	34	5	
obsolete_malignant epithelial tumor of ovary	http://www.orpha.net/ORDO/Orphanet_398934	5	32	5	
congenital left-sided heart lesions	http://www.ebi.ac.uk/efo/EFO_0005938	5	32	5	
Mitral valve prolapse	http://purl.obolibrary.org/obo/HP_0001634	5	32	5	
myositis	http://www.ebi.ac.uk/efo/EFO_0000783	5	31	5	
neuropathic pain	http://www.ebi.ac.uk/efo/EFO_0005762	5	30	5	
lymphoid leukemia	http://www.ebi.ac.uk/efo/EFO_0004289	5	26	5	
monoclonal gammopathy	http://www.ebi.ac.uk/efo/EFO_0000203	5	25	5	
Hyperthyroidism	http://www.ebi.ac.uk/efo/EFO_0009189	5	24	5	
rheumatic heart disease	http://www.ebi.ac.uk/efo/EFO_1001161	5	23	5	
remission, hepatitis C virus infection	http://www.ebi.ac.uk/efo/EFO_0009785, http://www.ebi.ac.uk/efo/EFO_0003047	5	21	5	
antipsychotic drug related weight gain	http://www.ebi.ac.uk/efo/EFO_0004567	5	21	5	
generalised epilepsy	http://www.ebi.ac.uk/efo/EFO_0005917	5	20	5	
TEMPS-A questionnaire	http://www.ebi.ac.uk/efo/EFO_0004783	5	20	5	
actinic keratosis	http://www.ebi.ac.uk/efo/EFO_0002496	5	17	5	
aggressive behavior	http://www.ebi.ac.uk/efo/EFO_0003015	5	17	5	
freckles	http://www.ebi.ac.uk/efo/EFO_0003963	5	16	5	
goiter	http://www.ebi.ac.uk/efo/EFO_0004283	5	16	5	
Autoimmune Hepatitis	http://www.ebi.ac.uk/efo/EFO_0005676	5	16	5	
atrophic macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492	5	15	5	
brain infarction	http://www.ebi.ac.uk/efo/EFO_0004277	5	14	5	
diaphragmatic hernia	http://www.ebi.ac.uk/efo/EFO_0008561	5	14	5	
response to peritoneal dialysis, peritoneal solute transfer rate	http://www.ebi.ac.uk/efo/EFO_0600090, http://www.ebi.ac.uk/efo/EFO_0600089	5	12	5	
uterine prolapse	http://www.ebi.ac.uk/efo/EFO_1001864	5	11	5	
receptive language perception	http://www.ebi.ac.uk/efo/EFO_0005686	5	11	5	
infant expressive language ability	http://www.ebi.ac.uk/efo/EFO_0006316	5	10	5	
Hepatitis	http://purl.obolibrary.org/obo/HP_0012115	5	9	5	
myelodysplastic syndrome	http://www.ebi.ac.uk/efo/EFO_0000198	5	9	5	
primary ovarian insufficiency	http://www.ebi.ac.uk/efo/EFO_0004266	5	9	5	
liver neoplasm	http://www.ebi.ac.uk/efo/EFO_1001513	5	8	5	
estrogen-receptor positive breast cancer	http://www.ebi.ac.uk/efo/EFO_1000649	5	6	5	
Gingival bleeding	http://purl.obolibrary.org/obo/HP_0000225	5	5	5	
Ovarian cyst	http://purl.obolibrary.org/obo/HP_0000138	5	5	5	
nevus	http://www.ebi.ac.uk/efo/EFO_0000625	5	5	5	
response to interferon beta	http://purl.obolibrary.org/obo/GO_0035456	5	5	5	
peripheral neuropathy	http://www.ebi.ac.uk/efo/EFO_0003100	5	5	5	
colorectal cancer, survival time	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0000714	5	4	5	
Toxoplasma gondii seropositivity	http://www.ebi.ac.uk/efo/EFO_0007047	5	4	5	
response to bronchodilator	http://purl.obolibrary.org/obo/GO_0097366	5	4	5	
hypertensive nephropathy	http://purl.obolibrary.org/obo/MONDO_0024633	5	4	5	
medication adherence behavior	http://www.ebi.ac.uk/efo/EFO_0006344	5	2	5	
heart valve disease	http://www.ebi.ac.uk/efo/EFO_0009551	5	2	5	
family history of lung cancer	http://www.ebi.ac.uk/efo/EFO_0006953	5	1	5	
skin carcinoma in situ	http://purl.obolibrary.org/obo/MONDO_0004641	5	1	5	
wheezing	http://www.ebi.ac.uk/efo/EFO_0009715	5	1	5	
Abnormal foot morphology	http://purl.obolibrary.org/obo/HP_0001760	5	1	5	
acute stress reaction	http://www.ebi.ac.uk/efo/EFO_0005223	5	1	5	
acute myocardial infarction	http://www.ebi.ac.uk/efo/EFO_0008583	5	1	5	
Hyperthyroidism, Thyrotoxicosis	http://www.ebi.ac.uk/efo/EFO_0009189, http://www.ebi.ac.uk/efo/EFO_0009190	5	0	5	
ureterolithiasis	http://www.ebi.ac.uk/efo/EFO_1001228	5	0	5	
uterine polyp	http://www.ebi.ac.uk/efo/EFO_0009484	5	0	5	
Palmar Fibromatosis	http://www.ebi.ac.uk/efo/EFO_1000438	5	0	5	
endometrial cancer	http://purl.obolibrary.org/obo/MONDO_0011962	5	0	5	
fever of unknown origin	http://www.ebi.ac.uk/efo/EFO_0003952	5	0	5	
uterine cervix carcinoma in situ	http://purl.obolibrary.org/obo/MONDO_0042487	5	0	5	
respiratory failure	http://www.ebi.ac.uk/efo/EFO_0009686	5	0	5	
acute kidney failure	http://purl.obolibrary.org/obo/MONDO_0002492	5	0	5	
Abnormal cardiovascular system physiology	http://purl.obolibrary.org/obo/HP_0011025	5	0	5	
eye injury	http://www.ebi.ac.uk/efo/EFO_0009485	5	0	5	
Neck pain	http://purl.obolibrary.org/obo/HP_0030833	5	0	5	
Cough	http://purl.obolibrary.org/obo/HP_0012735	5	0	5	
Hernia of the abdominal wall	http://purl.obolibrary.org/obo/HP_0004299	5	0	5	
muscular disease	http://www.ebi.ac.uk/efo/EFO_0002970	5	0	5	
treatment, Self-injurious behavior	http://www.ebi.ac.uk/efo/EFO_0000727, http://purl.obolibrary.org/obo/HP_0100716	5	0	5	
vitreous body disease	http://www.ebi.ac.uk/efo/EFO_0008624	5	0	5	
artificial cardiac pacemaker	http://www.ebi.ac.uk/efo/EFO_0009719	5	0	5	
uterine corpus cancer	http://www.ebi.ac.uk/efo/EFO_0007532	5	0	5	
infectious mononucleosis	http://www.ebi.ac.uk/efo/EFO_0007326	5	0	5	
response to radiation, Dysphagia	http://purl.obolibrary.org/obo/GO_0009314, http://purl.obolibrary.org/obo/HP_0002015	5	0	5	
hyperparathyroidism	http://www.ebi.ac.uk/efo/EFO_0008506	5	0	5	
Acute bronchitis	http://purl.obolibrary.org/obo/HP_0012388	5	0	5	
flatulence	http://www.ebi.ac.uk/efo/EFO_0009669	5	0	5	
eating behaviour	http://www.ebi.ac.uk/efo/EFO_0007829	5	0	5	
Spontaneous pneumothorax	http://purl.obolibrary.org/obo/HP_0002108	5	0	5	
lichen planus	http://www.ebi.ac.uk/efo/EFO_1000726	5	0	5	
suppurative otitis media	http://www.ebi.ac.uk/efo/EFO_0007503	5	0	5	
acute pharyngitis	http://www.ebi.ac.uk/efo/EFO_0009657	5	0	5	
pneumonitis	http://www.ebi.ac.uk/efo/EFO_1001991	5	0	5	
bronchial disease	http://www.ebi.ac.uk/efo/EFO_1002018	5	0	5	
Impacted tooth	http://purl.obolibrary.org/obo/HP_0011079	5	0	5	
pericarditis	http://www.ebi.ac.uk/efo/EFO_0007427	5	0	5	
Townsend deprivation index	http://www.ebi.ac.uk/efo/EFO_0009711	5	0	5	
herpes virus seropositivity	http://www.ebi.ac.uk/efo/EFO_0007036	5	0	5	
acute pancreatitis	http://www.ebi.ac.uk/efo/EFO_1000652	5	0	5	
tympanic membrane perforation	http://www.ebi.ac.uk/efo/EFO_0009472	5	0	5	
urogenital neoplasm	http://www.ebi.ac.uk/efo/EFO_0003863	5	0	5	
spondylolisthesis	http://www.ebi.ac.uk/efo/EFO_0007493	5	0	5	
sigmoid neoplasm	http://www.ebi.ac.uk/efo/EFO_1001181	5	0	5	
Shoulder pain	http://purl.obolibrary.org/obo/HP_0030834	5	0	5	
tenosynovitis	http://www.ebi.ac.uk/efo/EFO_1001435	5	0	5	
Gait disturbance	http://purl.obolibrary.org/obo/HP_0001288	5	0	5	
retinal vein occlusion	http://www.ebi.ac.uk/efo/EFO_1001157	5	0	5	
dry eye syndrome	http://www.ebi.ac.uk/efo/EFO_1000906	5	0	5	
cervical spondylosis	http://www.ebi.ac.uk/efo/EFO_0009610	5	0	5	
platelet crit	http://www.ebi.ac.uk/efo/EFO_0007985	4	1025	4	
diastolic blood pressure, systolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0006335	4	906	4	
mean reticulocyte volume	http://www.ebi.ac.uk/efo/EFO_0010701	4	714	4	
DNA methylation	http://purl.obolibrary.org/obo/GO_0006306	4	462	4	
Eczema	http://purl.obolibrary.org/obo/HP_0000964	4	262	4	
atopic asthma	http://www.ebi.ac.uk/efo/EFO_0010638	4	199	4	
multisite chronic pain	http://www.ebi.ac.uk/efo/EFO_0010100	4	141	4	
neuropsychological test	http://www.ebi.ac.uk/efo/EFO_0003926	4	135	4	
peak expiratory flow	http://www.ebi.ac.uk/efo/EFO_0009718	4	134	4	
diastolic blood pressure, alcohol drinking	http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0004329	4	128	4	
unipolar depression, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0000289	4	114	4	
bipolar I disorder	http://www.ebi.ac.uk/efo/EFO_0009963	4	109	4	
ocular sarcoidosis	http://www.ebi.ac.uk/efo/EFO_0010723	4	108	4	
essential tremor	http://www.ebi.ac.uk/efo/EFO_0003108	4	99	4	
sunburn	http://www.ebi.ac.uk/efo/EFO_0003958	4	90	4	
attention deficit hyperactivity disorder, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0000289	4	75	4	
response to opioid	http://www.ebi.ac.uk/efo/EFO_0008541	4	65	4	
common carotid intimal medial thickness	http://www.ebi.ac.uk/efo/EFO_0004860	4	48	4	
Abnormality of chromosome segregation	http://purl.obolibrary.org/obo/HP_0002916	4	47	4	
dentures	http://www.ebi.ac.uk/efo/EFO_0010078	4	47	4	
total iron binding capacity	http://www.ebi.ac.uk/efo/EFO_0006334	4	45	4	
proliferative diabetic retinopathy	http://www.ebi.ac.uk/efo/EFO_0009322	4	44	4	
obsolete_keratoconus	http://www.orpha.net/ORDO/Orphanet_156071	4	44	4	
alopecia areata	http://www.ebi.ac.uk/efo/EFO_0004192	4	43	4	
response to reverse transcriptase inhibitor	http://purl.obolibrary.org/obo/GO_0061479	4	43	4	
hip bone size	http://www.ebi.ac.uk/efo/EFO_0004844	4	42	4	
response to fenofibrate	http://purl.obolibrary.org/obo/GO_1901557	4	41	4	
biliary liver cirrhosis	http://www.ebi.ac.uk/efo/EFO_0004267	4	41	4	
hippocampal atrophy	http://www.ebi.ac.uk/efo/EFO_0005039	4	39	4	
suicidal ideation	http://www.ebi.ac.uk/efo/EFO_0004320	4	39	4	
eating disorder	http://www.ebi.ac.uk/efo/EFO_0005203	4	39	4	Glucose homeostasis/obesity
schizophrenia, obsolete_bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0000289	4	39	4	
polyp of colon	http://purl.obolibrary.org/obo/MONDO_0021400	4	38	4	
hyperuricemia	http://www.ebi.ac.uk/efo/EFO_0009104	4	37	4	
idiopathic osteonecrosis of the femoral head	http://www.ebi.ac.uk/efo/EFO_1001930	4	35	4	
response to cisplatin	http://purl.obolibrary.org/obo/GO_0072718	4	33	4	
unipolar depression, schizophrenia, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003761, http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0000289	4	33	4	
Mental deterioration	http://purl.obolibrary.org/obo/HP_0001268	4	32	4	
differentiated thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_1002017	4	29	4	
radius bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007933	4	25	4	Musculoskeletal 
partial thromboplastin time	http://www.ebi.ac.uk/efo/EFO_0004310	4	25	4	
anti-neutrophil antibody associated vasculitis	http://www.ebi.ac.uk/efo/EFO_0004826	4	25	4	
response to glucocorticoid, osteonecrosis	http://purl.obolibrary.org/obo/GO_0051384, http://www.ebi.ac.uk/efo/EFO_0004259	4	24	4	
shoulder impingement syndrome	http://www.ebi.ac.uk/efo/EFO_1001178	4	24	4	
thoracic aortic aneurysm	http://www.ebi.ac.uk/efo/EFO_0004282	4	24	4	
Age-related nuclear cataract	http://purl.obolibrary.org/obo/HP_0011142	4	23	4	
cystic fibrosis associated meconium ileus	http://www.ebi.ac.uk/efo/EFO_0004608	4	21	4	
polyomavirus 2 seropositivity	http://www.ebi.ac.uk/efo/EFO_0010907	4	21	4	
chronic rhinosinusitis	http://www.ebi.ac.uk/efo/EFO_1000024	4	21	4	
response to gemcitabine	http://purl.obolibrary.org/obo/GO_0036272	4	19	4	
Hashimoto's thyroiditis	http://www.ebi.ac.uk/efo/EFO_0003779	4	18	4	
primary angle closure glaucoma	http://www.ebi.ac.uk/efo/EFO_1001506	4	17	4	
response to interferon	http://www.ebi.ac.uk/efo/EFO_0007859	4	17	4	
AIDS	http://www.ebi.ac.uk/efo/EFO_0000765	4	17	4	
HOMA-IR	http://www.ebi.ac.uk/efo/EFO_0004501	4	17	4	Glucose homeostasis/obesity
reasoning	http://www.ebi.ac.uk/efo/EFO_0004350	4	16	4	
merkel cell virus seropositivity	http://www.ebi.ac.uk/efo/EFO_0010906	4	16	4	
bone density, lean body mass	http://www.ebi.ac.uk/efo/EFO_0003923, http://www.ebi.ac.uk/efo/EFO_0004995	4	15	4	
cerebral microbleeds	http://www.ebi.ac.uk/efo/EFO_0010059	4	15	4	
neoplasm of mature B-cells	http://www.ebi.ac.uk/efo/EFO_0000096	4	14	4	
cytomegalovirus virus reactivation, response to allogeneic hematopoietic stem cell transplant	http://www.ebi.ac.uk/efo/EFO_0020106, http://www.ebi.ac.uk/efo/EFO_0007044	4	13	4	
response to risperidone	http://purl.obolibrary.org/obo/GO_0097336	4	12	4	
bacteriemia	http://www.ebi.ac.uk/efo/EFO_0003033	4	12	4	
endometrial neoplasm	http://www.ebi.ac.uk/efo/EFO_0004230	4	11	4	
pemphigus vulgaris	http://www.ebi.ac.uk/efo/EFO_0004719	4	11	4	
cardiotoxicity, response to anthracycline-based chemotherapy	http://www.ebi.ac.uk/efo/EFO_1001482, http://www.ebi.ac.uk/efo/EFO_0005257	4	10	4	
polymyositis	http://www.ebi.ac.uk/efo/EFO_0003063	4	10	4	
age at onset, smoking initiation	http://www.ebi.ac.uk/efo/EFO_0004847, http://www.ebi.ac.uk/efo/EFO_0005670	4	9	4	
sleep quality	http://www.ebi.ac.uk/efo/EFO_0005272	4	8	4	
temporomandibular joint disorder	http://www.ebi.ac.uk/efo/EFO_0005279	4	7	4	
stomach polyp	http://purl.obolibrary.org/obo/MONDO_0008277	4	7	4	
Chlamydia trachomatis seropositivity	http://www.ebi.ac.uk/efo/EFO_0009330	4	6	4	
response to thiopurine, obsolete_alopecia	http://www.ebi.ac.uk/efo/EFO_0006317, http://www.orpha.net/ORDO/Orphanet_79364	4	6	4	
binge eating	http://www.ebi.ac.uk/efo/EFO_0005924	4	6	4	
Tendinopathy	http://www.ebi.ac.uk/efo/EFO_1001434	4	6	4	
septic shock	http://www.ebi.ac.uk/efo/EFO_0006834	4	5	4	
head and neck malignant neoplasia	http://www.ebi.ac.uk/efo/EFO_0006859	4	5	4	
Bicuspid aortic valve	http://purl.obolibrary.org/obo/HP_0001647	4	5	4	
azoospermia	http://www.ebi.ac.uk/efo/EFO_0000279	4	5	4	
unipolar depression, environmental factor	http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0000469	4	5	4	
orthostatic hypotension	http://www.ebi.ac.uk/efo/EFO_0005252	4	5	4	
mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	4	4	4	
recombination rate	http://www.ebi.ac.uk/efo/EFO_0004863	4	4	4	
response to anti-tuberculosis drug, drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0007918, http://www.ebi.ac.uk/efo/EFO_0004228	4	4	4	
Stress urinary incontinence	http://purl.obolibrary.org/obo/HP_0010992	4	3	4	
schizophrenia, type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005148	4	3	4	
noise-induced hearing loss	http://www.ebi.ac.uk/efo/EFO_1001254	4	3	4	
glomerulonephritis	http://purl.obolibrary.org/obo/MONDO_0002462	4	3	4	
hypoxanthine mesurement	http://www.ebi.ac.uk/efo/EFO_0010500	4	3	4	
chronic myelogenous leukemia	http://www.ebi.ac.uk/efo/EFO_0000339	4	2	4	
age of onset of migraine disorder	http://purl.obolibrary.org/obo/OBA_2001026	4	2	4	
pregnancy induced alloimmunization	http://www.ebi.ac.uk/efo/EFO_0008462	4	2	4	
fecal incontinence	http://www.ebi.ac.uk/efo/EFO_0009523	4	2	4	
prostate carcinoma, response to metformin	http://www.ebi.ac.uk/efo/EFO_0001663, http://purl.obolibrary.org/obo/GO_1901558	4	2	4	
Aplastic anemia	http://purl.obolibrary.org/obo/HP_0001915	4	2	4	
Thrombocytopenia	http://purl.obolibrary.org/obo/HP_0001873	4	1	4	
breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	4	1	4	
hippocampal amigdala transition area volume	http://www.ebi.ac.uk/efo/EFO_0009401	4	1	4	
movement disorder	http://www.ebi.ac.uk/efo/EFO_0004280	4	1	4	
hematologic disease	http://www.ebi.ac.uk/efo/EFO_0005803	4	1	4	
Syncope	http://purl.obolibrary.org/obo/HP_0001279	4	1	4	
Varicella zoster virus seropositivity	http://www.ebi.ac.uk/efo/EFO_0009340	4	1	4	
cholelithiasis, gallstones	http://www.ebi.ac.uk/efo/EFO_0004799, http://www.ebi.ac.uk/efo/EFO_0004210	4	1	4	
osteonecrosis	http://www.ebi.ac.uk/efo/EFO_0004259	4	1	4	
dependence on enabling machines and devices	http://www.ebi.ac.uk/efo/EFO_0020981	4	0	4	
response to topoisomerase inhibitor	http://purl.obolibrary.org/obo/GO_0072758	4	0	4	
obsolete_disorder of other vitamins and cofactors metabolism and transport	http://www.orpha.net/ORDO/Orphanet_309833	4	0	4	
cerebral infarction	http://purl.obolibrary.org/obo/MONDO_0002679	4	0	4	
unipolar depression, body weight	http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0004338	4	0	4	
type 2 diabetes nephropathy	http://www.ebi.ac.uk/efo/EFO_0004997	4	0	4	
sensorineural hearing loss	http://www.ebi.ac.uk/efo/EFO_1001176	4	0	4	
Microscopic hematuria	http://purl.obolibrary.org/obo/HP_0002907	4	0	4	
shortness of breath	http://www.ebi.ac.uk/efo/EFO_0009727	4	0	4	
Braxton-Hicks contractions	http://www.ebi.ac.uk/efo/EFO_0009639	4	0	4	
vertebral joint disease	http://www.ebi.ac.uk/efo/EFO_0009477	4	0	4	
arterial embolism, Arterial thrombosis	http://www.ebi.ac.uk/efo/EFO_0010671, http://purl.obolibrary.org/obo/HP_0004420	4	0	4	
adenomatous colon polyp	http://www.ebi.ac.uk/efo/EFO_1000633	4	0	4	
finger fracture	http://www.ebi.ac.uk/efo/EFO_0009616	4	0	4	
aortic valve disease	http://www.ebi.ac.uk/efo/EFO_0009531	4	0	4	
sprain	http://www.ebi.ac.uk/efo/EFO_0009582	4	0	4	
perinatal disease	http://www.ebi.ac.uk/efo/EFO_0010238	4	0	4	
whooping cough	http://www.ebi.ac.uk/efo/EFO_0000650	4	0	4	
obsolete_primary lymphedema	http://www.orpha.net/ORDO/Orphanet_77240	4	0	4	
chronic gastritis	http://www.ebi.ac.uk/efo/EFO_0000337	4	0	4	
mineral metabolism disease	http://www.ebi.ac.uk/efo/EFO_0009556	4	0	4	
disease of genitourinary system	http://www.ebi.ac.uk/efo/EFO_0009663	4	0	4	
Phlebitis, Thrombophlebitis	http://www.ebi.ac.uk/efo/EFO_1001395, http://purl.obolibrary.org/obo/HP_0004418	4	0	4	
hemorrhage	http://purl.obolibrary.org/obo/MP_0001914	4	0	4	
infectious meningitis	http://www.ebi.ac.uk/efo/EFO_0000584	4	0	4	
blood coagulation disease	http://www.ebi.ac.uk/efo/EFO_0009314	4	0	4	
breast disease	http://www.ebi.ac.uk/efo/EFO_0009483	4	0	4	
stomach neoplasm	http://www.ebi.ac.uk/efo/EFO_0003897	4	0	4	
eye foreign body	http://www.ebi.ac.uk/efo/EFO_1001322	4	0	4	
viral human hepatitis infection	http://www.ebi.ac.uk/efo/EFO_0004196	4	0	4	
scarlet fever	http://www.ebi.ac.uk/efo/EFO_0007477	4	0	4	
phobic disorder	http://www.ebi.ac.uk/efo/EFO_1001908	4	0	4	
obsolete_disorder of metabolite absorption and transport	http://www.orpha.net/ORDO/Orphanet_309824	4	0	4	
follicular lymphoma	http://purl.obolibrary.org/obo/MONDO_0018906	4	0	4	
neck injury	http://www.ebi.ac.uk/efo/EFO_0009476	4	0	4	
pigmented villonodular synovitis	http://www.ebi.ac.uk/efo/EFO_1001106	4	0	4	
chickenpox	http://www.ebi.ac.uk/efo/EFO_0007204	4	0	4	
abnormality of serum enzyme levels	http://www.ebi.ac.uk/efo/EFO_0009826	4	0	4	
carrier status	http://www.ebi.ac.uk/efo/EFO_0007658	4	0	4	
ileus	http://purl.obolibrary.org/obo/MONDO_0004567	4	0	4	
fall	http://www.ebi.ac.uk/efo/EFO_0009631	4	0	4	
cytomegalovirus seropositivity	http://www.ebi.ac.uk/efo/EFO_0007037	4	0	4	
nerve compression syndrome	http://www.ebi.ac.uk/efo/EFO_0009487	4	0	4	
constipation disorder	http://purl.obolibrary.org/obo/MONDO_0002203	4	0	4	
Osteopenia	http://purl.obolibrary.org/obo/HP_0000938	4	0	4	
Antepartum hemorrhage	http://purl.obolibrary.org/obo/HP_0025328	4	0	4	
rhinitis	http://www.ebi.ac.uk/efo/EFO_0008521	4	0	4	
Bartholin gland disease	http://www.ebi.ac.uk/efo/EFO_0009469	4	0	4	
malignant colon neoplasm	http://purl.obolibrary.org/obo/MONDO_0021063	4	0	4	
environmental factor	http://www.ebi.ac.uk/efo/EFO_0000469	4	0	4	
influenza	http://www.ebi.ac.uk/efo/EFO_0007328	4	0	4	
toothache	http://www.ebi.ac.uk/efo/EFO_0010072	4	0	4	
Spinal cord injury	http://www.ebi.ac.uk/efo/EFO_1001919	4	0	4	
sign or symptom concerning food and fluid intake	http://www.ebi.ac.uk/efo/EFO_0009825	4	0	4	
intracranial hemorrhage	http://www.ebi.ac.uk/efo/EFO_0000551	4	0	4	
Abnormality of bone mineral density	http://purl.obolibrary.org/obo/HP_0004348	4	0	4	Musculoskeletal  
ST Elevation Myocardial Infarction	http://www.ebi.ac.uk/efo/EFO_0008585	4	0	4	
Abnormal pattern of respiration	http://purl.obolibrary.org/obo/HP_0002793	4	0	4	
spondylitis	http://purl.obolibrary.org/obo/MONDO_0003937	4	0	4	
dysuria	http://www.ebi.ac.uk/efo/EFO_0003901	4	0	4	
connective tissue disease	http://www.ebi.ac.uk/efo/EFO_1001986	4	0	4	
Rectal abscess	http://purl.obolibrary.org/obo/HP_0005224	4	0	4	
articular cartilage of joint	http://purl.obolibrary.org/obo/UBERON_0010996	4	0	4	
lung disease	http://www.ebi.ac.uk/efo/EFO_0003818	4	0	4	
Mumps virus infectious disease	http://www.ebi.ac.uk/efo/EFO_0007383	4	0	4	
abnormal PAP smear	http://www.ebi.ac.uk/efo/EFO_0009511	4	0	4	
anus disease	http://www.ebi.ac.uk/efo/EFO_0009660	4	0	4	
hippocampus fimbria volume	http://www.ebi.ac.uk/efo/EFO_0009402	4	0	4	
Heart murmur	http://purl.obolibrary.org/obo/HP_0030148	4	0	4	
Gastrointestinal obstruction	http://purl.obolibrary.org/obo/HP_0004796	4	0	4	
menopause	http://www.ebi.ac.uk/efo/EFO_0003922	4	0	4	Other
rubella	http://www.ebi.ac.uk/efo/EFO_1002026	4	0	4	
biliary tract disease, pancreas disease, liver disease	http://www.ebi.ac.uk/efo/EFO_0009534, http://www.ebi.ac.uk/efo/EFO_0009605, http://www.ebi.ac.uk/efo/EFO_0001421	4	0	4	
salivary gland disease	http://www.ebi.ac.uk/efo/EFO_0008581	4	0	4	
Helicobacter pylori	http://purl.obolibrary.org/obo/NCBITaxon_210	4	0	4	
measles	http://www.ebi.ac.uk/efo/EFO_1002025	4	0	4	
dementia	http://purl.obolibrary.org/obo/MONDO_0001627	4	0	4	Mental 
mononeuropathy	http://www.ebi.ac.uk/efo/EFO_0009558	4	0	4	
postpartum hemorrhage	http://www.ebi.ac.uk/efo/EFO_0009579	4	0	4	
vitamin B12 deficiency	http://www.ebi.ac.uk/efo/EFO_0000734	4	0	4	
rectosigmoid junction neoplasm	http://purl.obolibrary.org/obo/MONDO_0002423	4	0	4	
fibula fracture	http://www.ebi.ac.uk/efo/EFO_0009613	4	0	4	
vertebral disorder	http://purl.obolibrary.org/obo/MONDO_0045002	4	0	4	
Abnormality of the skin	http://purl.obolibrary.org/obo/HP_0000951	4	0	4	
specific language disorder	http://purl.obolibrary.org/obo/MONDO_0016226	4	0	4	
paranasal sinus disease	http://www.ebi.ac.uk/efo/EFO_0009481	4	0	4	
Snoring	http://purl.obolibrary.org/obo/HP_0025267	4	0	4	
nail anomaly	http://purl.obolibrary.org/obo/MONDO_0019283	4	0	4	
folliculitis	http://www.ebi.ac.uk/efo/EFO_1000702	4	0	4	
Epidermal Inclusion Cyst	http://www.ebi.ac.uk/efo/EFO_1000243	4	0	4	
neurodegenerative disease	http://www.ebi.ac.uk/efo/EFO_0005772	4	0	4	
lacrimal apparatus disease	http://www.ebi.ac.uk/efo/EFO_0009455	4	0	4	
alcohol abuse	http://purl.obolibrary.org/obo/MONDO_0002046	4	0	4	
spinal cord disease	http://www.ebi.ac.uk/efo/EFO_0009488	4	0	4	
rheumatic fever	http://www.ebi.ac.uk/efo/EFO_1001160	4	0	4	
cesarean section	http://www.ebi.ac.uk/efo/EFO_0009636	4	0	4	
Abnormality of urine homeostasis	http://purl.obolibrary.org/obo/HP_0003110	4	0	4	
response to bronchodilator, FEV/FEC ratio	http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	3	2125	3	
forced expiratory volume, response to bronchodilator	http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	3	1314	3	
household income	http://www.ebi.ac.uk/efo/EFO_0009695	3	413	3	
Alzheimer disease, family history of Alzheimer’s disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0009268	3	359	3	Mental
autism spectrum disorder, schizophrenia	http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090	3	345	3	
obsolete_alopecia	http://www.orpha.net/ORDO/Orphanet_79364	3	335	3	
platelet-to-lymphocyte ratio	http://www.ebi.ac.uk/efo/EFO_0008446	3	334	3	
smoking behavior, body mass index	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0004340	3	287	3	
